COUNTRY,COUNTRY_CODE,YEAR,INTEREST_RATE,INFLATION_RATE,GDP-US $ billion nominal,UNEMPLOYMENT_RATE,Defense-total $ billion nominal,,
United States,USA,1933,,-5.09,56.4,,1.38,,In dollars billion
United States,USA,1934,,3.51,66,21.7,1.08,,
United States,USA,1935,,2.56,73.3,,1.87,,
United States,USA,1936,,1.04,83.8,16.9,2.65,,
United States,USA,1937,,3.73,91.9,,2.15,,
United States,USA,1938,,-2.01,86.1,19,1.65,,
United States,USA,1939,,-1.3,92.2,,1.91,,
United States,USA,1940,,0.73,101.4,14.6,2.16,,
United States,USA,1941,,5.11,126.7,,7.24,,
United States,USA,1942,,10.97,161.9,4.7,27.08,,
United States,USA,1943,,6,198.6,,70.44,,
United States,USA,1944,,1.64,219.8,1.2,86.1,,
United States,USA,1945,,2.27,223,,93.75,,
Germany,DEU,1933,,,,,,,
Germany,DEU,1934,,,,,,,
Germany,DEU,1935,,,,,,,
Germany,DEU,1936,,,,,,,
Germany,DEU,1937,,,,,,,
Germany,DEU,1938,,,,,,,
Germany,DEU,1939,,,,,,,
Germany,DEU,1940,,,,,,,
Germany,DEU,1941,,,,,,,
Germany,DEU,1942,,,,,,,
Germany,DEU,1943,,,,,,,
Germany,DEU,1944,,,,,,,
Germany,DEU,1945,,,,,,,
United Kingdom,GBR,1933,2,-2.1,4.298,,0.11,,In pounds billion
United Kingdom,GBR,1934,2,0,4.517,,0.116,,
United Kingdom,GBR,1935,2,0.7,4.72,,0.121,,
United Kingdom,GBR,1936,2,0.7,4.987,,0.145,,
United Kingdom,GBR,1937,2,3.4,5.334,,0.195,,
United Kingdom,GBR,1938,2,1.6,5.502,,0.205,,
United Kingdom,GBR,1939,3,2.8,5.918,,0.266,,
United Kingdom,GBR,1940,2,16.8,7.183,,0.643,,
United Kingdom,GBR,1941,2,10.8,8.654,,3.232,,
United Kingdom,GBR,1942,2,7.1,9.482,,4.096,,
United Kingdom,GBR,1943,2,3.4,10.093,,4.863,,
United Kingdom,GBR,1944,2,2.7,10.18,,4.964,,
United Kingdom,GBR,1945,2,2.8,9.908,,5.153,,
Soviet Union,RUS,1933,,,,,,,
Soviet Union,RUS,1934,,,,,,,
Soviet Union,RUS,1935,,,,,,,
Soviet Union,RUS,1936,,,,,,,
Soviet Union,RUS,1937,,,,,,,
Soviet Union,RUS,1938,,,,,,,
Soviet Union,RUS,1939,,,,,,,
Soviet Union,RUS,1940,,,,,,,
Soviet Union,RUS,1941,,,,,,,
Soviet Union,RUS,1942,,,,,,,
Soviet Union,RUS,1943,,,,,,,
Soviet Union,RUS,1944,,,,,,,
Soviet Union,RUS,1945,,,,,,,
Japan,JPN,1933,,,,,,,
Japan,JPN,1934,,,,,,,
Japan,JPN,1935,,,,,,,
Japan,JPN,1936,,,,,,,
Japan,JPN,1937,,,,,,,
Japan,JPN,1938,,,,,,,
Japan,JPN,1939,,,,,,,
Japan,JPN,1940,,,,,,,
Japan,JPN,1941,,,,,,,
Japan,JPN,1942,,,,,,,
Japan,JPN,1943,,,,,,,
Japan,JPN,1944,,,,,,,
Japan,JPN,1945,,,,,,,
