City,PerCapita
GEO.DISPLAY-LABEL,HC01_VC115
ALTON,22857
AMHERST,61161
ANTRIM,24625
ASHLAND,19096
BARTLETT,18009
BELMONT,17211
BENNINGTON,19550
BERLIN,20418
BETHLEHEM,21841
BLODGETT LANDING,18001
BRADFORD,25983
BRISTOL,20328
CANAAN,22398
CENTER OSSIPEE,17245
CENTER SANDWICH,31957
CHARLESTOWN,26651
CLAREMONT,21853
COLEBROOK,22481
CONCORD,30037
CONTOOCOOK,41813
CONWAY,24752
DERRY,29324
DOVER,31795
DURHAM,14729
EAST MERRIMACK,29711
ENFIELD,28425
EPPING,31038
EXETER,34685
FARMINGTON,23727
FRANKLIN,21509
GOFFSTOWN,31883
GORHAM,26667
GREENVILLE,23375
GROVETON,17791
HAMPTON,38750
HAMPTON BEACH,43191
HANCOCK,35021
HANOVER,26400
HENNIKER,23322
HILLSBOROUGH,20473
HINSDALE,24586
HOOKSETT,33959
HUDSON,29484
JAFFREY,28342
KEENE,25631
LACONIA,27711
LANCASTER,23340
LEBANON,32975
LINCOLN,26668
LISBON,20872
LITTLETON,24562
LONDONDERRY,37397
LOUDON,48804
MANCHESTER,27467
MARLBOROUGH,23294
MELVIN VILLAGE,32154
MEREDITH,27748
MILFORD,31866
MILTON,25917
MILTON MILLS,21553
MOUNTAIN LAKES,24780
NASHUA,33032
NEWFIELDS,32913
NEW HAMPTON,25376
NEW LONDON,19468
NEWMARKET,28515
NEWPORT,20205
NORTH CONWAY,21664
NORTH WALPOLE,20546
NORTH WOODSTOCK,30179
PETERBOROUGH,32615
PINARDVILLE,30496
PITTSFIELD,20069
PLAINFIELD,27641
PLYMOUTH,17025
PORTSMOUTH,39344
RAYMOND,29764
ROCHESTER,27902
SANBORNVILLE,27757
SEABROOK BEACH,33554
SOMERSWORTH,25037
SOUTH HOOKSETT,31294
SUISSEVALE,26001
SUNCOOK,24643
TILTON NORTHFIELD,22607
TROY,24665
UNION,18402
WALPOLE,23338
WARNER,28381
WEST STEWARTSTOWN,14315
WEST SWANZEY,27372
WHITEFIELD,18846
WILTON,23185
WINCHESTER,20791
WOLFEBORO,29630
WOODSVILLE,14744
